Product Code,Description,Qty,Unit Cost ($),Line Total,PO Number,Location
,Buttermilk,6,8.95,53.70,WALKIN-2026-001,Walk-in Cooler
,Butter,12,4.60,55.20,WALKIN-2026-001,Walk-in Cooler
,Shredded Cheddar Cheese,10,18.75,187.50,WALKIN-2026-001,Walk-in Cooler
,Shredded Monterey Jack Cheese,8,19.25,154.00,WALKIN-2026-001,Walk-in Cooler
,Blue Cheese Crumbles,6,21.50,129.00,WALKIN-2026-001,Walk-in Cooler
,Mozzarella Cheese,8,17.80,142.40,WALKIN-2026-001,Walk-in Cooler
,Mayonnaise,8,24.25,194.00,WALKIN-2026-001,Walk-in Cooler
,Low-Fat Mayonnaise Base,4,22.50,90.00,WALKIN-2026-001,Walk-in Cooler
,Honey Mustard Dressing,6,19.75,118.50,WALKIN-2026-001,Walk-in Cooler
,Creole Mustard,4,13.40,53.60,WALKIN-2026-001,Walk-in Cooler
,Yellow Mustard,6,9.90,59.40,WALKIN-2026-001,Walk-in Cooler
,Pickle Chips,8,16.25,130.00,WALKIN-2026-001,Walk-in Cooler
,Pickle Spears,6,17.10,102.60,WALKIN-2026-001,Walk-in Cooler
,Prepared Raw Horseradish,4,12.85,51.40,WALKIN-2026-001,Walk-in Cooler
,Cooked Prime Rib Log,3,185.00,555.00,WALKIN-2026-001,Walk-in Cooler
,Bread or Roll Dough,8,28.50,228.00,WALKIN-2026-001,Walk-in Cooler
,Grand Total,,,2304.30,WALKIN-2026-001,Walk-in Cooler
